pair,fiveyear,totGMIs,rank
"AD-BE","1996-00",1,399
"AD-ES","2011-15",1,724
"AD-FR","1991-95",1,360
"AD-US","2011-15",1,648
"AE-AE","1986-90",0,347
"AE-AE","1991-95",0,458
"AE-AE","1996-00",0,594
"AE-AE","2001-05",0,615
"AE-AE","2006-10",0,828
"AE-AE","2011-15",0,896
"AF-CH","1996-00",1,390
"AF-US","1996-00",1,486
"AG-AR","2001-05",1,542
"AG-AR","2006-10",1,551
"AG-AR","2011-15",2,591
"AG-CH","2011-15",1,647
"AG-US","2001-05",1,437
"AI-DE","1996-00",1,449
"AI-GB","2001-05",1,550
"AI-US","2006-10",1,734
"AI-ZA","1986-90",2,157
"AI-ZA","1991-95",1,322
"AM-AM","1996-00",0,577
"AM-AM","2001-05",0,661
"AM-AM","2006-10",0,784
"AM-AM","2011-15",0,858
"AN-CH","1996-00",1,462
"AN-DE","2001-05",1,601
"AN-IL","1996-00",1,431
"AN-NL","1996-00",1,378
"AN-NL","2001-05",1,606
"AO-FR","1986-90",1,226
"AO-FR","2006-10",2,489
"AO-US","2006-10",2,476
"AQ-AR","1996-00",1,466
"AR-AR","1986-90",0,371
"AR-AR","1991-95",0,405
"AR-AR","1996-00",0,581
"AR-AR","2001-05",0,642
"AR-AR","2006-10",0,782
"AR-AR","2011-15",0,891
"AT-AE","2011-15",4,404
"AT-AT","1986-90",0,358
"AT-AT","1991-95",0,412
"AT-AT","1996-00",0,606
"AT-AT","2001-05",0,607
"AT-AT","2006-10",0,758
"AT-AT","2011-15",0,848
"AU-AT","1986-90",8,76
"AU-AT","1991-95",12,87
"AU-AT","1996-00",18,102
"AU-AT","2001-05",24,109
"AU-AT","2006-10",15,171
"AU-AT","2011-15",19,183
"AU-AU","1986-90",0,331
"AU-AU","1991-95",0,430
"AU-AU","1996-00",0,537
"AU-AU","2001-05",0,623
"AU-AU","2006-10",0,761
"AU-AU","2011-15",0,838
"AW-FR","2006-10",1,642
"AZ-AU","2001-05",1,549
"AZ-AU","2011-15",1,792
"AZ-US","1986-90",4,109
"AZ-US","1991-95",3,195
"AZ-US","2001-05",1,561
"AZ-US","2006-10",1,671
"AZ-US","2011-15",3,484
"BA-BS","1996-00",1,489
"BA-BS","2001-05",1,547
"BA-DE","2011-15",1,616
"BA-DK","2011-15",1,598
"BA-GB","2006-10",1,561
"BA-US","1986-90",2,175
"BA-US","1991-95",1,319
"BA-US","1996-00",3,277
"BA-US","2006-10",1,744
"BB-AT","2011-15",1,766
"BB-BE","1996-00",1,403
"BB-BE","2001-05",1,495
"BB-CA","1996-00",1,461
"BB-CA","2006-10",1,676
"BB-DK","1996-00",1,510
"BB-GB","1991-95",1,361
"BB-GB","1996-00",2,287
"BB-GB","2001-05",1,470
"BB-MX","2011-15",2,586
"BB-US","1991-95",1,391
"BB-US","2001-05",1,569
"BB-US","2006-10",1,533
"BB-US","2011-15",1,646
"BD-BD","2011-15",0,859
"BE-AR","2006-10",1,532
"BE-AR","2011-15",1,799
"BE-AT","1996-00",3,264
"BE-AT","2001-05",2,371
"BE-AT","2006-10",5,310
"BE-AT","2011-15",1,747
"BE-AU","1991-95",3,176
"BE-AU","1996-00",2,312
"BE-AU","2001-05",14,149
"BE-AU","2006-10",6,272
"BE-AU","2011-15",16,205
"BE-BE","1986-90",0,348
"BE-BE","1991-95",0,454
"BE-BE","1996-00",0,538
"BE-BE","2001-05",0,659
"BE-BE","2006-10",0,759
"BE-BE","2011-15",0,902
"BF-BE","1986-90",3,136
"BF-BE","1991-95",3,201
"BF-BE","2011-15",1,700
"BG-AU","2001-05",4,267
"BG-BE","1986-90",1,285
"BG-BE","1991-95",3,186
"BG-BE","1996-00",8,180
"BG-BE","2001-05",18,135
"BG-BE","2006-10",18,164
"BG-BE","2011-15",20,179
"BG-BG","1986-90",0,335
"BG-BG","1991-95",0,425
"BG-BG","1996-00",0,612
"BG-BG","2001-05",0,637
"BG-BG","2006-10",0,805
"BG-BG","2011-15",0,876
"BH-GB","2011-15",1,744
"BH-SA","2011-15",4,396
"BH-US","2006-10",2,465
"BM-BM","1986-90",0,339
"BM-BM","1991-95",0,414
"BM-BM","1996-00",0,535
"BM-BM","2001-05",0,653
"BM-BM","2006-10",0,756
"BM-BM","2011-15",0,875
"BN-US","2001-05",1,454
"BN-US","2006-10",1,703
"BN-US","2011-15",1,709
"BO-FR","2006-10",1,599
"BR-AR","2001-05",1,573
"BR-AR","2006-10",1,646
"BR-AR","2011-15",1,669
"BR-AT","2006-10",1,592
"BR-AU","2006-10",1,704
"BR-AU","2011-15",1,676
"BR-BE","2011-15",1,643
"BR-BR","1986-90",0,318
"BR-BR","1991-95",0,420
"BR-BR","1996-00",0,548
"BR-BR","2001-05",0,621
"BR-BR","2006-10",0,788
"BR-BR","2011-15",0,837
"BS-BS","1986-90",0,332
"BS-BS","1991-95",0,413
"BS-BS","1996-00",0,608
"BS-BS","2001-05",0,618
"BS-BS","2011-15",0,872
"BY-BY","1991-95",0,452
"BY-BY","1996-00",0,571
"BY-BY","2001-05",0,667
"BY-BY","2006-10",0,783
"BY-BY","2011-15",0,906
"BZ-CA","2006-10",1,608
"BZ-CA","2011-15",1,630
"BZ-DE","2011-15",1,713
"CA-AE","1996-00",1,451
"CA-AE","2001-05",2,351
"CA-AE","2006-10",2,501
"CA-AE","2011-15",7,314
"CA-AR","2001-05",1,451
"CA-AR","2006-10",1,738
"CA-AT","1986-90",10,66
"CA-AT","1991-95",3,191
"CA-AT","1996-00",12,133
"CA-AT","2001-05",12,160
"CA-AT","2006-10",17,166
"CA-AT","2011-15",16,208
"CA-AU","1986-90",27,37
"CA-AU","1991-95",25,52
"CA-AU","1996-00",67,48
"CA-AU","2001-05",83,53
"CA-AU","2006-10",81,67
"CA-AU","2011-15",83,79
"CA-BE","1986-90",5,102
"CA-BE","1991-95",10,94
"CA-BE","1996-00",12,135
"CA-BE","2001-05",31,98
"CA-BE","2006-10",28,130
"CA-BE","2011-15",26,152
"CA-BG","1996-00",1,409
"CA-BG","2001-05",1,562
"CA-BG","2006-10",2,513
"CA-BG","2011-15",4,425
"CA-BM","2006-10",1,641
"CA-BR","1986-90",2,197
"CA-BR","1991-95",1,343
"CA-BR","2001-05",4,274
"CA-BR","2006-10",2,453
"CA-BR","2011-15",5,361
"CA-BS","2001-05",1,443
"CA-BS","2011-15",2,517
"CA-BY","2001-05",1,441
"CA-CA","1986-90",0,355
"CA-CA","1991-95",0,433
"CA-CA","1996-00",0,610
"CA-CA","2001-05",0,658
"CA-CA","2006-10",0,793
"CA-CA","2011-15",0,861
"CH-AE","2001-05",3,315
"CH-AE","2006-10",1,600
"CH-AR","1996-00",5,225
"CH-AR","2001-05",1,477
"CH-AR","2006-10",1,557
"CH-AT","1986-90",16,47
"CH-AT","1991-95",13,81
"CH-AT","1996-00",38,67
"CH-AT","2001-05",50,74
"CH-AT","2006-10",80,69
"CH-AT","2011-15",84,78
"CH-AU","1986-90",6,87
"CH-AU","1991-95",6,138
"CH-AU","1996-00",9,160
"CH-AU","2001-05",3,309
"CH-AU","2006-10",20,153
"CH-AU","2011-15",24,157
"CH-BE","1986-90",4,120
"CH-BE","1991-95",6,139
"CH-BE","1996-00",9,159
"CH-BE","2001-05",20,120
"CH-BE","2006-10",15,176
"CH-BE","2011-15",28,146
"CH-BG","1986-90",1,309
"CH-BG","1996-00",1,413
"CH-BG","2001-05",2,370
"CH-BR","2001-05",3,326
"CH-BR","2006-10",2,456
"CH-BR","2011-15",1,601
"CH-BS","1991-95",9,102
"CH-BS","2001-05",3,304
"CH-CA","1986-90",14,54
"CH-CA","1991-95",10,93
"CH-CA","1996-00",34,73
"CH-CA","2001-05",38,89
"CH-CA","2006-10",53,92
"CH-CA","2011-15",55,103
"CH-CH","1986-90",0,334
"CH-CH","1991-95",0,404
"CH-CH","1996-00",0,563
"CH-CH","2001-05",0,650
"CH-CH","2006-10",0,811
"CH-CH","2011-15",0,831
"CL-AR","2006-10",1,597
"CL-BE","1991-95",1,270
"CL-BR","1996-00",1,389
"CL-BR","2006-10",2,423
"CL-CH","2011-15",2,575
"CL-CL","1986-90",0,313
"CL-CL","1991-95",0,423
"CL-CL","1996-00",0,592
"CL-CL","2001-05",0,649
"CL-CL","2006-10",0,751
"CL-CL","2011-15",0,835
"CM-CM","1996-00",0,544
"CM-CM","2006-10",0,781
"CM-CM","2011-15",0,879
"CN-AE","2001-05",1,462
"CN-AE","2011-15",1,695
"CN-AT","1996-00",1,396
"CN-AT","2006-10",6,283
"CN-AT","2011-15",20,177
"CN-AU","1991-95",2,213
"CN-AU","1996-00",6,214
"CN-AU","2001-05",22,113
"CN-AU","2006-10",80,68
"CN-AU","2011-15",191,50
"CN-BE","1991-95",1,372
"CN-BE","1996-00",1,393
"CN-BE","2001-05",9,190
"CN-BE","2006-10",17,167
"CN-BE","2011-15",53,106
"CN-BR","2001-05",2,355
"CN-BR","2006-10",3,365
"CN-BR","2011-15",2,504
"CN-BS","2001-05",1,436
"CN-CA","1991-95",6,131
"CN-CA","1996-00",27,80
"CN-CA","2001-05",161,37
"CN-CA","2006-10",641,18
"CN-CA","2011-15",1185,13
"CN-CH","1986-90",5,99
"CN-CH","1991-95",2,211
"CN-CH","1996-00",23,87
"CN-CH","2001-05",56,66
"CN-CH","2006-10",94,63
"CN-CH","2011-15",152,55
"CN-CM","2006-10",1,621
"CN-CM","2011-15",3,449
"CN-CN","1986-90",0,315
"CN-CN","1991-95",0,467
"CN-CN","1996-00",0,601
"CN-CN","2001-05",0,651
"CN-CN","2006-10",0,827
"CN-CN","2011-15",0,852
"CO-AU","2006-10",2,443
"CO-CA","2001-05",1,482
"CO-CA","2006-10",1,530
"CO-CA","2011-15",1,814
"CO-CN","2011-15",1,725
"CO-CO","1986-90",0,333
"CO-CO","1991-95",0,429
"CO-CO","1996-00",0,602
"CO-CO","2001-05",0,626
"CO-CO","2006-10",0,753
"CO-CO","2011-15",0,840
"CR-AT","2011-15",5,365
"CR-CA","2006-10",1,540
"CR-CA","2011-15",1,593
"CR-CR","1996-00",0,553
"CR-CR","2001-05",0,611
"CR-CR","2006-10",0,821
"CR-CR","2011-15",0,890
"CU-CU","1986-90",0,370
"CU-CU","1991-95",0,447
"CU-CU","1996-00",0,542
"CU-CU","2001-05",0,628
"CU-CU","2006-10",0,767
"CU-CU","2011-15",0,903
"CY-CA","2001-05",3,338
"CY-CA","2006-10",1,567
"CY-CA","2011-15",1,732
"CY-CH","1991-95",1,305
"CY-CH","2001-05",1,434
"CY-CN","2011-15",1,818
"CY-CY","2006-10",0,779
"CY-CY","2011-15",0,886
"CZ-AT","1986-90",1,258
"CZ-AT","1991-95",1,347
"CZ-AT","1996-00",1,404
"CZ-AT","2006-10",1,627
"CZ-AT","2011-15",2,553
"CZ-AU","2011-15",1,776
"CZ-BE","2011-15",1,607
"CZ-CA","1991-95",1,298
"CZ-CA","2001-05",4,278
"CZ-CA","2006-10",1,606
"CZ-CA","2011-15",4,389
"CZ-CH","1991-95",1,387
"CZ-CH","1996-00",3,275
"CZ-CH","2001-05",2,406
"CZ-CH","2006-10",5,313
"CZ-CH","2011-15",6,337
"CZ-CZ","1986-90",0,364
"CZ-CZ","1991-95",0,460
"CZ-CZ","1996-00",0,545
"CZ-CZ","2001-05",0,652
"CZ-CZ","2006-10",0,749
"CZ-CZ","2011-15",0,855
"DE-AE","2006-10",2,469
"DE-AE","2011-15",4,388
"DE-AR","2006-10",1,677
"DE-AR","2011-15",1,801
"DE-AT","1986-90",241,6
"DE-AT","1991-95",280,10
"DE-AT","1996-00",447,12
"DE-AT","2001-05",618,14
"DE-AT","2006-10",778,15
"DE-AT","2011-15",756,22
"DE-AU","1986-90",8,79
"DE-AU","1991-95",31,46
"DE-AU","1996-00",42,61
"DE-AU","2001-05",57,65
"DE-AU","2006-10",67,76
"DE-AU","2011-15",79,81
"DE-BE","1986-90",41,29
"DE-BE","1991-95",66,29
"DE-BE","1996-00",111,37
"DE-BE","2001-05",138,42
"DE-BE","2006-10",152,50
"DE-BE","2011-15",132,60
"DE-BG","1991-95",1,296
"DE-BG","1996-00",2,307
"DE-BG","2006-10",6,288
"DE-BG","2011-15",6,341
"DE-BR","1986-90",14,53
"DE-BR","1991-95",8,106
"DE-BR","1996-00",15,119
"DE-BR","2001-05",12,165
"DE-BR","2006-10",19,159
"DE-BR","2011-15",18,195
"DE-BS","2001-05",1,458
"DE-CA","1986-90",62,21
"DE-CA","1991-95",62,30
"DE-CA","1996-00",126,32
"DE-CA","2001-05",186,31
"DE-CA","2006-10",170,46
"DE-CA","2011-15",218,45
"DE-CH","1986-90",427,5
"DE-CH","1991-95",482,5
"DE-CH","1996-00",768,7
"DE-CH","2001-05",858,10
"DE-CH","2006-10",1023,13
"DE-CH","2011-15",1054,15
"DE-CL","1986-90",1,310
"DE-CL","2006-10",4,338
"DE-CM","1991-95",1,289
"DE-CN","1986-90",1,286
"DE-CN","1991-95",9,99
"DE-CN","1996-00",30,77
"DE-CN","2001-05",81,56
"DE-CN","2006-10",227,36
"DE-CN","2011-15",440,27
"DE-CO","1986-90",1,297
"DE-CO","2011-15",1,672
"DE-CY","1996-00",1,364
"DE-CZ","1986-90",1,257
"DE-CZ","1996-00",16,107
"DE-CZ","2001-05",8,203
"DE-CZ","2006-10",6,271
"DE-CZ","2011-15",11,255
"DE-DE","1986-90",0,360
"DE-DE","1991-95",0,419
"DE-DE","1996-00",0,550
"DE-DE","2001-05",0,608
"DE-DE","2006-10",0,769
"DE-DE","2011-15",0,860
"DK-AR","1996-00",1,386
"DK-AT","1991-95",1,366
"DK-AT","1996-00",2,299
"DK-AT","2001-05",3,310
"DK-AT","2006-10",6,269
"DK-AT","2011-15",3,450
"DK-AU","1986-90",1,210
"DK-AU","1996-00",3,283
"DK-AU","2001-05",4,268
"DK-AU","2006-10",4,339
"DK-AU","2011-15",12,247
"DK-BE","1986-90",1,206
"DK-BE","1991-95",4,167
"DK-BE","1996-00",2,345
"DK-BE","2001-05",4,294
"DK-BE","2006-10",2,520
"DK-BE","2011-15",3,455
"DK-BR","2006-10",1,721
"DK-CA","1986-90",2,170
"DK-CA","1991-95",3,190
"DK-CA","1996-00",7,189
"DK-CA","2001-05",11,172
"DK-CA","2006-10",13,186
"DK-CA","2011-15",10,271
"DK-CH","1986-90",2,190
"DK-CH","1991-95",8,115
"DK-CH","1996-00",9,167
"DK-CH","2001-05",7,214
"DK-CH","2006-10",11,206
"DK-CH","2011-15",11,254
"DK-CN","2001-05",4,298
"DK-CN","2006-10",5,311
"DK-CN","2011-15",28,145
"DK-CZ","2001-05",1,447
"DK-DE","1986-90",11,65
"DK-DE","1991-95",24,56
"DK-DE","1996-00",48,58
"DK-DE","2001-05",77,57
"DK-DE","2006-10",96,62
"DK-DE","2011-15",78,82
"DK-DK","1986-90",0,351
"DK-DK","1991-95",0,443
"DK-DK","1996-00",0,609
"DK-DK","2001-05",0,647
"DK-DK","2006-10",0,766
"DK-DK","2011-15",0,904
"DO-ES","1996-00",2,295
"DO-US","1986-90",1,200
"DO-US","1996-00",1,408
"DO-US","2006-10",1,724
"DZ-MY","2011-15",1,642
"DZ-US","2001-05",1,468
"EC-ES","2001-05",1,558
"EC-MX","2011-15",1,604
"EC-US","1986-90",1,263
"EC-US","1991-95",2,220
"EC-US","2006-10",2,444
"EC-US","2011-15",3,443
"EC-VE","1986-90",2,163
"EC-VE","2006-10",1,620
"EE-AU","2006-10",1,538
"EE-CA","2011-15",1,783
"EE-EE","1991-95",0,455
"EE-EE","1996-00",0,603
"EE-EE","2001-05",0,681
"EE-EE","2006-10",0,748
"EE-EE","2011-15",0,846
"EG-BG","2011-15",1,777
"EG-CA","2006-10",6,286
"EG-CA","2011-15",6,352
"EG-CN","2006-10",1,723
"EG-EG","1986-90",0,323
"EG-EG","1991-95",0,403
"EG-EG","1996-00",0,591
"EG-EG","2001-05",0,633
"EG-EG","2006-10",0,776
"EG-EG","2011-15",0,873
"ES-AE","2011-15",1,785
"ES-AR","2001-05",1,582
"ES-AR","2006-10",2,462
"ES-AR","2011-15",2,515
"ES-AT","2001-05",2,396
"ES-AT","2006-10",2,460
"ES-AT","2011-15",3,454
"ES-AU","1991-95",2,260
"ES-AU","1996-00",1,481
"ES-AU","2001-05",2,348
"ES-AU","2006-10",2,473
"ES-AU","2011-15",1,671
"ES-BE","1986-90",1,204
"ES-BE","1991-95",1,311
"ES-BE","1996-00",2,350
"ES-BE","2001-05",3,321
"ES-BE","2006-10",5,298
"ES-BE","2011-15",8,304
"ES-BG","1991-95",1,349
"ES-BR","1986-90",4,116
"ES-BR","1991-95",1,278
"ES-BR","1996-00",2,297
"ES-BR","2001-05",2,428
"ES-BR","2006-10",3,371
"ES-BR","2011-15",13,233
"ES-CA","1991-95",2,250
"ES-CA","1996-00",4,234
"ES-CA","2001-05",4,280
"ES-CA","2006-10",9,223
"ES-CA","2011-15",5,373
"ES-CH","1986-90",1,256
"ES-CH","1991-95",2,217
"ES-CH","1996-00",5,231
"ES-CH","2001-05",6,226
"ES-CH","2006-10",6,280
"ES-CH","2011-15",16,207
"ES-CL","2011-15",4,387
"ES-CN","2001-05",2,352
"ES-CN","2006-10",5,321
"ES-CN","2011-15",8,289
"ES-CO","2001-05",1,548
"ES-CO","2011-15",1,819
"ES-CU","2006-10",1,552
"ES-CU","2011-15",3,451
"ES-DE","1986-90",4,115
"ES-DE","1991-95",15,74
"ES-DE","1996-00",20,94
"ES-DE","2001-05",38,88
"ES-DE","2006-10",44,99
"ES-DE","2011-15",35,123
"ES-DK","1986-90",1,209
"ES-DK","1991-95",2,255
"ES-DK","2001-05",5,253
"ES-DK","2006-10",10,216
"ES-DK","2011-15",7,311
"ES-EG","2011-15",1,596
"ES-ES","1986-90",0,369
"ES-ES","1991-95",0,427
"ES-ES","1996-00",0,541
"ES-ES","2001-05",0,671
"ES-ES","2006-10",0,813
"ES-ES","2011-15",0,849
"ET-US","2006-10",1,556
"FI-AT","1996-00",1,385
"FI-AT","2001-05",3,314
"FI-AT","2006-10",3,359
"FI-AT","2011-15",12,243
"FI-AU","1986-90",2,185
"FI-AU","1991-95",1,283
"FI-AU","1996-00",1,394
"FI-AU","2001-05",1,500
"FI-AU","2006-10",5,322
"FI-AU","2011-15",5,369
"FI-BE","1986-90",1,301
"FI-BE","1991-95",1,277
"FI-BE","2001-05",4,293
"FI-BE","2006-10",3,388
"FI-BE","2011-15",3,466
"FI-CA","1991-95",4,154
"FI-CA","1996-00",3,257
"FI-CA","2001-05",5,247
"FI-CA","2006-10",4,352
"FI-CA","2011-15",13,231
"FI-CH","1986-90",6,86
"FI-CH","1991-95",1,368
"FI-CH","1996-00",1,521
"FI-CH","2001-05",7,219
"FI-CH","2006-10",11,210
"FI-CH","2011-15",20,180
"FI-CL","1996-00",1,447
"FI-CN","1991-95",1,334
"FI-CN","1996-00",5,216
"FI-CN","2001-05",20,122
"FI-CN","2006-10",48,95
"FI-CN","2011-15",60,100
"FI-DE","1986-90",2,167
"FI-DE","1991-95",3,179
"FI-DE","1996-00",16,112
"FI-DE","2001-05",41,85
"FI-DE","2006-10",30,125
"FI-DE","2011-15",43,113
"FI-DK","1991-95",4,175
"FI-DK","1996-00",2,284
"FI-DK","2001-05",7,210
"FI-DK","2006-10",5,320
"FI-DK","2011-15",1,662
"FI-EE","2006-10",2,458
"FI-EE","2011-15",4,407
"FI-ES","1996-00",10,151
"FI-ES","2001-05",9,200
"FI-ES","2006-10",4,329
"FI-ES","2011-15",1,683
"FI-FI","1986-90",0,328
"FI-FI","1991-95",0,448
"FI-FI","1996-00",0,540
"FI-FI","2001-05",0,616
"FI-FI","2006-10",0,794
"FI-FI","2011-15",0,828
"FK-FR","1991-95",1,396
"FK-FR","2006-10",1,536
"FR-AE","1996-00",1,425
"FR-AE","2001-05",1,508
"FR-AE","2006-10",2,414
"FR-AE","2011-15",3,431
"FR-AM","2006-10",1,574
"FR-AR","1996-00",2,292
"FR-AR","2001-05",2,377
"FR-AR","2006-10",7,256
"FR-AR","2011-15",3,462
"FR-AT","1986-90",2,186
"FR-AT","1991-95",2,264
"FR-AT","1996-00",8,172
"FR-AT","2001-05",9,193
"FR-AT","2006-10",7,250
"FR-AT","2011-15",8,287
"FR-AU","1986-90",11,64
"FR-AU","1991-95",12,86
"FR-AU","1996-00",20,93
"FR-AU","2001-05",42,82
"FR-AU","2006-10",30,123
"FR-AU","2011-15",31,134
"FR-BE","1986-90",44,25
"FR-BE","1991-95",80,24
"FR-BE","1996-00",111,36
"FR-BE","2001-05",125,44
"FR-BE","2006-10",144,52
"FR-BE","2011-15",124,63
"FR-BG","2001-05",2,432
"FR-BG","2006-10",2,485
"FR-BR","1986-90",3,131
"FR-BR","1991-95",1,300
"FR-BR","1996-00",5,219
"FR-BR","2001-05",9,192
"FR-BR","2006-10",12,195
"FR-BR","2011-15",11,251
"FR-BS","2006-10",1,625
"FR-CA","1986-90",105,13
"FR-CA","1991-95",134,16
"FR-CA","1996-00",337,15
"FR-CA","2001-05",321,22
"FR-CA","2006-10",361,26
"FR-CA","2011-15",326,32
"FR-CH","1986-90",71,18
"FR-CH","1991-95",88,21
"FR-CH","1996-00",181,24
"FR-CH","2001-05",197,30
"FR-CH","2006-10",282,29
"FR-CH","2011-15",293,38
"FR-CL","2001-05",1,513
"FR-CN","1991-95",6,125
"FR-CN","1996-00",8,178
"FR-CN","2001-05",31,96
"FR-CN","2006-10",61,82
"FR-CN","2011-15",99,74
"FR-CU","1986-90",2,158
"FR-CZ","1986-90",3,140
"FR-CZ","1991-95",1,367
"FR-CZ","2011-15",3,469
"FR-DE","1986-90",70,19
"FR-DE","1991-95",112,18
"FR-DE","1996-00",201,20
"FR-DE","2001-05",268,24
"FR-DE","2006-10",327,27
"FR-DE","2011-15",296,37
"FR-DK","1986-90",1,281
"FR-DK","1991-95",4,161
"FR-DK","1996-00",7,188
"FR-DK","2001-05",13,155
"FR-DK","2006-10",16,168
"FR-DK","2011-15",15,218
"FR-EE","2006-10",1,616
"FR-EG","2011-15",1,621
"FR-ES","1986-90",6,90
"FR-ES","1991-95",11,90
"FR-ES","1996-00",39,66
"FR-ES","2001-05",28,103
"FR-ES","2006-10",36,113
"FR-ES","2011-15",35,124
"FR-FI","1986-90",1,215
"FR-FI","1991-95",2,222
"FR-FI","1996-00",8,185
"FR-FI","2001-05",8,201
"FR-FI","2006-10",8,247
"FR-FI","2011-15",12,238
"FR-FR","1986-90",0,324
"FR-FR","1991-95",0,411
"FR-FR","1996-00",0,573
"FR-FR","2001-05",0,672
"FR-FR","2006-10",0,765
"FR-FR","2011-15",0,851
"GA-US","1986-90",3,148
"GA-US","1991-95",3,193
"GA-US","2011-15",2,582
"GB-AE","1996-00",3,280
"GB-AE","2001-05",1,589
"GB-AE","2006-10",2,424
"GB-AE","2011-15",7,329
"GB-AR","1991-95",1,331
"GB-AR","1996-00",7,195
"GB-AR","2001-05",2,401
"GB-AR","2011-15",1,618
"GB-AT","1986-90",1,306
"GB-AT","1991-95",2,227
"GB-AT","1996-00",9,162
"GB-AT","2001-05",7,215
"GB-AT","2006-10",10,220
"GB-AT","2011-15",25,154
"GB-AU","1986-90",66,20
"GB-AU","1991-95",68,27
"GB-AU","1996-00",158,26
"GB-AU","2001-05",181,33
"GB-AU","2006-10",209,39
"GB-AU","2011-15",241,41
"GB-BE","1986-90",15,52
"GB-BE","1991-95",23,59
"GB-BE","1996-00",48,57
"GB-BE","2001-05",55,67
"GB-BE","2006-10",39,105
"GB-BE","2011-15",29,142
"GB-BG","2006-10",3,379
"GB-BG","2011-15",3,432
"GB-BR","1986-90",1,298
"GB-BR","1996-00",3,272
"GB-BR","2001-05",1,435
"GB-BR","2006-10",3,404
"GB-BR","2011-15",8,299
"GB-BS","1996-00",2,296
"GB-BS","2011-15",1,628
"GB-CA","1986-90",113,12
"GB-CA","1991-95",137,15
"GB-CA","1996-00",287,16
"GB-CA","2001-05",356,19
"GB-CA","2006-10",374,25
"GB-CA","2011-15",420,28
"GB-CH","1986-90",22,42
"GB-CH","1991-95",25,53
"GB-CH","1996-00",56,53
"GB-CH","2001-05",83,55
"GB-CH","2006-10",100,60
"GB-CH","2011-15",124,62
"GB-CL","2006-10",1,679
"GB-CM","1996-00",2,337
"GB-CN","1991-95",4,159
"GB-CN","1996-00",10,157
"GB-CN","2001-05",49,75
"GB-CN","2006-10",202,41
"GB-CN","2011-15",314,33
"GB-CY","1996-00",2,286
"GB-CY","2006-10",1,601
"GB-CY","2011-15",3,438
"GB-CZ","2006-10",7,260
"GB-CZ","2011-15",5,367
"GB-DE","1986-90",25,39
