pair,fiveyear,totGMIs,rank
"GB-DE","1991-95",82,23
"GB-DE","1996-00",182,23
"GB-DE","2001-05",226,26
"GB-DE","2006-10",240,33
"GB-DE","2011-15",311,34
"GB-DK","1986-90",3,135
"GB-DK","1991-95",4,158
"GB-DK","1996-00",21,91
"GB-DK","2001-05",24,108
"GB-DK","2006-10",18,160
"GB-DK","2011-15",34,126
"GB-EE","2011-15",1,722
"GB-EG","2006-10",1,658
"GB-ES","1986-90",1,255
"GB-ES","1991-95",5,153
"GB-ES","1996-00",8,176
"GB-ES","2001-05",19,125
"GB-ES","2006-10",44,100
"GB-ES","2011-15",43,112
"GB-FI","1986-90",2,161
"GB-FI","1991-95",7,122
"GB-FI","1996-00",23,89
"GB-FI","2001-05",27,107
"GB-FI","2006-10",34,118
"GB-FI","2011-15",18,187
"GB-FR","1986-90",38,30
"GB-FR","1991-95",68,28
"GB-FR","1996-00",147,27
"GB-FR","2001-05",169,36
"GB-FR","2006-10",208,40
"GB-FR","2011-15",197,49
"GB-GB","1986-90",0,346
"GB-GB","1991-95",0,437
"GB-GB","1996-00",0,549
"GB-GB","2001-05",0,636
"GB-GB","2006-10",0,787
"GB-GB","2011-15",0,857
"GD-CN","2011-15",1,655
"GE-DE","2011-15",3,497
"GE-GE","1996-00",0,579
"GE-GE","2001-05",0,635
"GE-GE","2006-10",0,780
"GH-FI","2001-05",1,591
"GH-FI","2006-10",1,535
"GH-KR","1991-95",1,352
"GI-AU","2006-10",1,580
"GI-AU","2011-15",1,770
"GI-DE","1996-00",1,524
"GI-DE","2006-10",1,579
"GI-ES","2006-10",1,528
"GI-ES","2011-15",1,597
"GI-GB","1986-90",1,199
"GI-GB","2006-10",1,688
"GI-GI","2001-05",0,634
"GI-GI","2006-10",0,825
"GI-GI","2011-15",0,869
"GL-US","2006-10",1,525
"GN-BE","2011-15",1,734
"GR-AT","2011-15",1,635
"GR-AU","2006-10",1,526
"GR-AU","2011-15",1,614
"GR-BE","2001-05",4,275
"GR-BE","2006-10",2,478
"GR-CH","2001-05",1,527
"GR-CH","2011-15",1,800
"GR-CN","2006-10",2,426
"GR-CY","2006-10",1,537
"GR-DE","1986-90",1,249
"GR-DE","1996-00",4,236
"GR-DE","2001-05",2,350
"GR-DE","2006-10",3,363
"GR-DE","2011-15",5,376
"GR-ES","2006-10",2,422
"GR-ES","2011-15",1,813
"GR-FI","1996-00",3,281
"GR-FI","2001-05",2,423
"GR-FR","1991-95",1,302
"GR-FR","1996-00",3,253
"GR-FR","2011-15",2,516
"GR-GB","1996-00",2,338
"GR-GB","2001-05",5,246
"GR-GB","2006-10",9,224
"GR-GB","2011-15",6,334
"GR-GR","1986-90",0,368
"GR-GR","1991-95",0,431
"GR-GR","1996-00",0,596
"GR-GR","2001-05",0,625
"GR-GR","2006-10",0,752
"GR-GR","2011-15",0,832
"GT-GB","2011-15",1,668
"GT-US","1986-90",1,214
"GT-US","1996-00",2,346
"GT-US","2001-05",1,463
"GT-US","2006-10",1,542
"GT-US","2011-15",2,559
"GU-US","1996-00",2,330
"HK-AU","1986-90",2,169
"HK-AU","1991-95",1,282
"HK-AU","1996-00",6,215
"HK-AU","2001-05",7,213
"HK-AU","2006-10",7,265
"HK-AU","2011-15",10,272
"HK-BE","2006-10",2,434
"HK-CA","1986-90",2,173
"HK-CA","1991-95",8,105
"HK-CA","1996-00",13,126
"HK-CA","2001-05",12,159
"HK-CA","2006-10",21,148
"HK-CA","2011-15",26,151
"HK-CH","2001-05",1,584
"HK-CH","2006-10",2,498
"HK-CH","2011-15",2,527
"HK-CN","1986-90",6,89
"HK-CN","1991-95",17,69
"HK-CN","1996-00",94,41
"HK-CN","2001-05",544,16
"HK-CN","2006-10",891,14
"HK-CN","2011-15",1026,16
"HK-CY","2001-05",1,459
"HK-DE","1986-90",1,253
"HK-DE","1991-95",2,235
"HK-DE","1996-00",5,221
"HK-DE","2001-05",5,259
"HK-DE","2006-10",3,394
"HK-DE","2011-15",7,309
"HK-DK","2006-10",1,693
"HK-FI","2001-05",1,467
"HK-FI","2011-15",4,398
"HK-FR","1986-90",1,300
"HK-FR","1991-95",1,339
"HK-FR","1996-00",1,379
"HK-FR","2006-10",6,291
"HK-FR","2011-15",6,333
"HK-GB","1986-90",5,94
"HK-GB","1991-95",14,79
"HK-GB","1996-00",27,81
"HK-GB","2001-05",14,147
"HK-GB","2006-10",15,175
"HK-GB","2011-15",19,185
"HK-HK","1986-90",0,316
"HK-HK","1991-95",0,435
"HK-HK","1996-00",0,599
"HK-HK","2001-05",0,622
"HK-HK","2006-10",0,760
"HK-HK","2011-15",0,907
"HN-HU","1991-95",1,290
"HN-US","2001-05",1,565
"HN-US","2006-10",1,691
"HN-US","2011-15",1,599
"HR-AU","2001-05",1,457
"HR-CA","2001-05",1,515
"HR-GB","2001-05",1,605
"HR-GB","2006-10",2,511
"HR-GB","2011-15",5,368
"HR-HR","1991-95",0,438
"HR-HR","1996-00",0,614
"HR-HR","2001-05",0,673
"HR-HR","2006-10",0,764
"HR-HR","2011-15",0,836
"HU-AT","1991-95",1,312
"HU-AT","1996-00",1,494
"HU-AT","2006-10",1,640
"HU-AU","1996-00",1,458
"HU-AU","2006-10",1,560
"HU-BE","1991-95",2,234
"HU-BE","1996-00",2,325
"HU-BE","2001-05",1,446
"HU-BE","2006-10",1,596
"HU-CA","1986-90",1,304
"HU-CA","1991-95",2,223
"HU-CA","1996-00",1,520
"HU-CA","2001-05",6,232
"HU-CA","2006-10",6,270
"HU-CA","2011-15",1,711
"HU-CH","1986-90",3,155
"HU-CH","1991-95",1,291
"HU-CH","2001-05",1,518
"HU-CH","2011-15",2,503
"HU-DE","1986-90",5,97
"HU-DE","1991-95",5,145
"HU-DE","1996-00",4,240
"HU-DE","2001-05",4,272
"HU-DE","2006-10",10,217
"HU-DE","2011-15",14,222
"HU-FI","1996-00",1,455
"HU-FI","2001-05",10,181
"HU-FI","2006-10",2,436
"HU-FI","2011-15",5,371
"HU-FR","1986-90",1,208
"HU-FR","1996-00",1,370
"HU-FR","2001-05",4,271
"HU-FR","2006-10",4,327
"HU-FR","2011-15",2,501
"HU-GB","1986-90",1,240
"HU-GB","1991-95",2,240
"HU-GB","1996-00",5,223
"HU-GB","2001-05",4,295
"HU-GB","2006-10",2,519
"HU-GB","2011-15",4,428
"HU-HU","1986-90",0,314
"HU-HU","1991-95",0,417
"HU-HU","1996-00",0,583
"HU-HU","2001-05",0,631
"HU-HU","2006-10",0,822
"HU-HU","2011-15",0,844
"ID-AU","2011-15",1,661
"ID-DE","1996-00",2,331
"ID-DE","2001-05",2,395
"ID-DE","2011-15",2,557
"ID-DK","2006-10",5,303
"ID-DK","2011-15",1,796
"ID-FR","1991-95",1,279
"ID-GB","1986-90",1,228
"ID-GB","1996-00",2,304
"ID-GB","2006-10",3,411
"ID-GB","2011-15",1,636
"ID-ID","1991-95",0,407
"ID-ID","1996-00",0,546
"ID-ID","2001-05",0,639
"ID-ID","2006-10",0,775
"ID-ID","2011-15",0,829
"IE-AT","1996-00",1,470
"IE-AT","2006-10",3,386
"IE-AU","1991-95",1,357
"IE-AU","1996-00",12,134
"IE-AU","2001-05",14,150
"IE-AU","2006-10",39,107
"IE-AU","2011-15",34,127
"IE-BE","1996-00",1,419
"IE-BE","2001-05",2,425
"IE-BE","2006-10",3,376
"IE-BE","2011-15",3,496
"IE-BM","2001-05",1,567
"IE-BR","2006-10",2,522
"IE-CA","1986-90",1,267
"IE-CA","1991-95",2,214
"IE-CA","1996-00",16,110
"IE-CA","2001-05",12,161
"IE-CA","2006-10",25,137
"IE-CA","2011-15",38,117
"IE-CH","1996-00",3,252
"IE-CH","2001-05",5,260
"IE-CH","2006-10",8,241
"IE-CH","2011-15",10,275
"IE-CN","2006-10",3,369
"IE-CN","2011-15",18,190
"IE-DE","1986-90",2,181
"IE-DE","1991-95",4,165
"IE-DE","1996-00",9,170
"IE-DE","2001-05",14,151
"IE-DE","2006-10",26,135
"IE-DE","2011-15",22,167
"IE-DK","1986-90",1,203
"IE-DK","1991-95",1,390
"IE-DK","2001-05",6,231
"IE-DK","2011-15",2,523
"IE-EE","2006-10",8,239
"IE-EG","2011-15",3,485
"IE-ES","1991-95",1,295
"IE-ES","2001-05",1,555
"IE-ES","2006-10",2,491
"IE-ES","2011-15",9,285
"IE-FI","2001-05",3,302
"IE-FI","2011-15",4,408
"IE-FR","1986-90",2,191
"IE-FR","1991-95",1,307
"IE-FR","1996-00",5,227
"IE-FR","2001-05",7,225
"IE-FR","2006-10",12,198
"IE-FR","2011-15",21,168
"IE-GB","1986-90",24,40
"IE-GB","1991-95",22,61
"IE-GB","1996-00",70,47
"IE-GB","2001-05",92,50
"IE-GB","2006-10",168,47
"IE-GB","2011-15",176,52
"IE-GR","2001-05",1,568
"IE-HK","2001-05",2,366
"IE-HK","2006-10",1,603
"IE-ID","1996-00",1,528
"IE-ID","2011-15",1,790
"IE-IE","1986-90",0,349
"IE-IE","1991-95",0,402
"IE-IE","1996-00",0,564
"IE-IE","2001-05",0,676
"IE-IE","2006-10",0,809
"IE-IE","2011-15",0,888
"IL-AM","2006-10",1,675
"IL-AR","2001-05",1,476
"IL-AR","2006-10",2,503
"IL-AT","1996-00",2,290
"IL-AT","2001-05",2,356
"IL-AT","2006-10",5,296
"IL-AT","2011-15",5,372
"IL-AU","1991-95",1,332
"IL-AU","1996-00",3,271
"IL-AU","2001-05",10,177
"IL-AU","2006-10",7,254
"IL-AU","2011-15",15,215
"IL-BE","1991-95",3,187
"IL-BE","1996-00",1,372
"IL-BE","2001-05",5,254
"IL-BE","2006-10",9,230
"IL-BE","2011-15",10,269
"IL-BG","2011-15",1,723
"IL-CA","1986-90",4,118
"IL-CA","1991-95",24,54
"IL-CA","1996-00",15,117
"IL-CA","2001-05",23,110
"IL-CA","2006-10",38,109
"IL-CA","2011-15",50,108
"IL-CH","1986-90",1,238
"IL-CH","1996-00",6,201
"IL-CH","2001-05",6,235
"IL-CH","2006-10",15,173
"IL-CH","2011-15",14,228
"IL-CL","2011-15",1,817
"IL-CN","1991-95",2,228
"IL-CN","1996-00",2,310
"IL-CN","2001-05",2,397
"IL-CN","2006-10",6,285
"IL-CN","2011-15",11,262
"IL-CZ","2006-10",1,591
"IL-CZ","2011-15",5,370
"IL-DE","1986-90",1,274
"IL-DE","1991-95",6,132
"IL-DE","1996-00",6,203
"IL-DE","2001-05",10,187
"IL-DE","2006-10",28,131
"IL-DE","2011-15",65,95
"IL-DK","1986-90",1,230
"IL-DK","1996-00",1,421
"IL-DK","2001-05",1,455
"IL-DK","2006-10",3,381
"IL-ES","1991-95",1,301
"IL-ES","1996-00",3,266
"IL-ES","2006-10",2,425
"IL-ES","2011-15",9,278
"IL-FI","2011-15",4,399
"IL-FR","1986-90",3,144
"IL-FR","1991-95",7,124
"IL-FR","1996-00",14,124
"IL-FR","2001-05",19,126
"IL-FR","2006-10",21,151
"IL-FR","2011-15",26,153
"IL-GB","1986-90",10,67
"IL-GB","1991-95",8,114
"IL-GB","1996-00",15,118
"IL-GB","2001-05",28,104
"IL-GB","2006-10",30,127
"IL-GB","2011-15",40,116
"IL-HK","1996-00",2,329
"IL-HK","2001-05",1,535
"IL-HK","2006-10",3,412
"IL-HK","2011-15",2,592
"IL-HU","1986-90",1,303
"IL-HU","2001-05",2,368
"IL-HU","2006-10",1,586
"IL-HU","2011-15",1,771
"IL-ID","2006-10",2,468
"IL-IE","1991-95",3,202
"IL-IE","1996-00",13,125
"IL-IE","2001-05",12,163
"IL-IE","2006-10",6,282
"IL-IE","2011-15",18,193
"IL-IL","1986-90",0,356
"IL-IL","1991-95",0,428
"IL-IL","1996-00",0,567
"IL-IL","2001-05",0,643
"IL-IL","2006-10",0,797
"IL-IL","2011-15",0,909
"IM-CN","2011-15",1,717
"IM-GB","1986-90",1,302
"IM-GB","2001-05",5,252
"IM-GB","2006-10",7,267
"IM-GB","2011-15",3,477
"IM-US","2001-05",1,534
"IN-AE","2006-10",2,445
"IN-AE","2011-15",1,694
"IN-AT","2006-10",4,331
"IN-AT","2011-15",3,489
"IN-AU","1996-00",8,181
"IN-AU","2001-05",8,209
"IN-AU","2006-10",10,219
"IN-AU","2011-15",21,172
"IN-BD","2006-10",1,588
"IN-BE","2001-05",1,485
"IN-BE","2006-10",5,308
"IN-BE","2011-15",15,209
"IN-BR","1986-90",1,254
"IN-BR","2006-10",1,609
"IN-CA","1986-90",1,276
"IN-CA","1991-95",1,308
"IN-CA","1996-00",5,224
"IN-CA","2001-05",17,138
"IN-CA","2006-10",57,85
"IN-CA","2011-15",115,68
"IN-CH","1986-90",3,137
"IN-CH","1996-00",2,327
"IN-CH","2001-05",4,270
"IN-CH","2006-10",20,154
"IN-CH","2011-15",15,211
"IN-CN","2001-05",2,382
"IN-CN","2006-10",3,397
"IN-CN","2011-15",17,198
"IN-CU","2001-05",1,551
"IN-CY","2006-10",1,711
"IN-DE","1986-90",4,117
"IN-DE","1991-95",2,224
"IN-DE","1996-00",6,207
"IN-DE","2001-05",9,195
"IN-DE","2006-10",31,122
"IN-DE","2011-15",76,85
"IN-DK","2011-15",7,310
"IN-ES","2011-15",3,440
"IN-FI","1996-00",1,432
"IN-FI","2001-05",3,303
"IN-FI","2006-10",8,236
"IN-FI","2011-15",12,244
"IN-FR","1986-90",1,222
"IN-FR","1991-95",2,216
"IN-FR","1996-00",3,263
"IN-FR","2001-05",3,316
"IN-FR","2006-10",7,251
"IN-FR","2011-15",21,170
"IN-GB","1986-90",1,236
"IN-GB","1991-95",3,192
"IN-GB","1996-00",7,187
"IN-GB","2001-05",12,166
"IN-GB","2006-10",32,120
"IN-GB","2011-15",96,75
"IN-HK","2001-05",1,505
"IN-HK","2006-10",2,515
"IN-HK","2011-15",7,322
"IN-ID","2011-15",2,518
"IN-IE","1996-00",1,440
"IN-IE","2006-10",3,407
"IN-IE","2011-15",9,284
"IN-IL","2006-10",4,347
"IN-IL","2011-15",7,325
"IN-IN","1986-90",0,354
"IN-IN","1991-95",0,434
"IN-IN","1996-00",0,597
"IN-IN","2001-05",0,662
"IN-IN","2006-10",0,795
"IN-IN","2011-15",0,883
"IO-US","2001-05",1,578
"IQ-NZ","2011-15",1,815
"IR-CA","1991-95",2,210
"IR-CA","2006-10",1,590
"IR-CA","2011-15",3,486
"IR-DK","2011-15",1,768
"IR-FR","1986-90",1,212
"IR-FR","1996-00",1,496
"IR-FR","2011-15",1,775
"IR-GB","2011-15",1,687
"IR-IE","1986-90",1,261
"IR-IE","1991-95",4,172
"IR-IE","1996-00",2,318
"IR-IE","2001-05",21,119
"IR-IE","2006-10",5,307
"IR-IE","2011-15",6,349
"IR-IL","1991-95",1,346
"IR-IL","1996-00",1,363
"IR-IL","2006-10",2,499
"IR-IL","2011-15",8,300
"IR-IR","2001-05",0,682
"IR-IR","2006-10",0,768
"IR-IR","2011-15",0,824
"IS-CA","1991-95",1,317
"IS-CA","2006-10",2,447
"IS-CA","2011-15",2,507
"IS-DE","2006-10",3,406
"IS-DE","2011-15",6,343
"IS-DK","2006-10",1,650
"IS-GB","2001-05",2,409
"IS-GB","2006-10",1,626
"IS-IE","1986-90",3,134
"IS-IE","1996-00",6,204
"IS-IE","2001-05",2,419
"IS-IE","2011-15",2,533
"IS-IL","2011-15",1,688
"IS-IS","1986-90",0,338
"IS-IS","1991-95",0,465
"IS-IS","1996-00",0,539
"IS-IS","2001-05",0,612
"IS-IS","2006-10",0,791
"IS-IS","2011-15",0,866
"IT-AR","1991-95",1,294
"IT-AR","2006-10",5,314
"IT-AR","2011-15",1,754
"IT-AT","1986-90",2,198
"IT-AT","1991-95",2,212
"IT-AT","1996-00",10,156
"IT-AT","2001-05",6,236
"IT-AT","2006-10",11,200
"IT-AT","2011-15",36,122
"IT-AU","1996-00",5,222
"IT-AU","2001-05",10,179
"IT-AU","2006-10",9,226
"IT-AU","2011-15",10,267
"IT-BE","1986-90",3,139
"IT-BE","1991-95",8,113
"IT-BE","1996-00",14,123
"IT-BE","2001-05",7,222
"IT-BE","2006-10",9,228
"IT-BE","2011-15",13,234
"IT-BR","1986-90",1,241
"IT-BR","1996-00",3,268
"IT-BR","2001-05",9,189
"IT-BR","2006-10",6,274
"IT-BR","2011-15",13,236
"IT-CA","1986-90",2,162
"IT-CA","1991-95",6,134
"IT-CA","1996-00",11,143
"IT-CA","2001-05",10,176
"IT-CA","2006-10",18,161
"IT-CA","2011-15",11,253
"IT-CH","1986-90",29,35
"IT-CH","1991-95",41,40
"IT-CH","1996-00",41,62
"IT-CH","2001-05",55,69
"IT-CH","2006-10",101,59
"IT-CH","2011-15",121,65
"IT-CL","2006-10",1,678
"IT-CN","1986-90",1,217
"IT-CN","1991-95",1,327
"IT-CN","1996-00",3,278
"IT-CN","2001-05",3,335
"IT-CN","2006-10",13,185
"IT-CN","2011-15",12,239
"IT-CZ","2006-10",1,524
"IT-DE","1986-90",14,56
"IT-DE","1991-95",23,57
"IT-DE","1996-00",39,65
"IT-DE","2001-05",70,58
"IT-DE","2006-10",77,72
"IT-DE","2011-15",119,67
"IT-DK","1996-00",3,254
"IT-DK","2001-05",1,541
"IT-DK","2006-10",3,408
"IT-DK","2011-15",4,402
"IT-EG","2006-10",1,645
"IT-ES","1991-95",4,169
"IT-ES","1996-00",9,161
"IT-ES","2001-05",16,142
"IT-ES","2006-10",21,145
"IT-ES","2011-15",21,171
"IT-FI","1986-90",1,311
"IT-FI","1996-00",4,233
"IT-FI","2001-05",10,186
"IT-FI","2006-10",9,227
"IT-FI","2011-15",9,279
"IT-FR","1986-90",23,41
"IT-FR","1991-95",22,63
"IT-FR","1996-00",54,54
"IT-FR","2001-05",47,79
"IT-FR","2006-10",54,89
"IT-FR","2011-15",61,98
"IT-GB","1986-90",8,77
"IT-GB","1991-95",17,66
"IT-GB","1996-00",60,52
"IT-GB","2001-05",59,61
"IT-GB","2006-10",66,78
"IT-GB","2011-15",73,90
"IT-GR","1991-95",1,328
"IT-HK","2001-05",1,450
"IT-HK","2011-15",2,539
"IT-HU","1991-95",3,180
"IT-HU","1996-00",2,358
"IT-HU","2006-10",2,477
"IT-ID","2011-15",1,634
"IT-IE","1991-95",1,362
"IT-IE","1996-00",1,457
"IT-IE","2001-05",3,337
"IT-IE","2006-10",2,514
"IT-IE","2011-15",6,350
"IT-IL","1986-90",10,69
"IT-IL","1991-95",12,85
"IT-IL","1996-00",15,120
"IT-IL","2001-05",16,143
"IT-IL","2006-10",25,138
"IT-IL","2011-15",20,176
"IT-IN","1996-00",1,468
"IT-IN","2006-10",6,281
"IT-IN","2011-15",2,588
"IT-IT","1986-90",0,326
"IT-IT","1991-95",0,461
"IT-IT","1996-00",0,611
"IT-IT","2001-05",0,638
"IT-IT","2006-10",0,807
"IT-IT","2011-15",0,871
"JE-GB","1991-95",1,345
"JE-GB","1996-00",1,445
"JE-GB","2011-15",4,405
"JE-JE","2006-10",0,762
"JE-JE","2011-15",0,880
"JM-CA","1991-95",1,276
"JM-GB","1991-95",1,303
"JM-GB","2006-10",1,576
"JM-JM","2011-15",0,870
"JO-CA","2006-10",2,451
"JO-CA","2011-15",5,364
"JO-DE","2001-05",1,493
"JO-ES","2006-10",1,584
"JO-FR","2001-05",1,538
"JO-JO","1996-00",0,552
"JO-JO","2001-05",0,644
"JO-JO","2006-10",0,808
"JO-JO","2011-15",0,839
"JP-AT","1986-90",1,264
"JP-AT","1991-95",1,306
"JP-AT","1996-00",3,276
"JP-AT","2001-05",5,257
"JP-AT","2006-10",2,430
"JP-AT","2011-15",6,346
"JP-AU","1986-90",11,63
"JP-AU","1991-95",8,107
"JP-AU","1996-00",15,116
"JP-AU","2001-05",12,158
"JP-AU","2006-10",45,97
"JP-AU","2011-15",40,115
"JP-BD","2006-10",1,527
"JP-BE","1986-90",11,62
"JP-BE","1991-95",8,109
"JP-BE","1996-00",19,101
"JP-BE","2001-05",37,90
"JP-BE","2006-10",69,74
"JP-BE","2011-15",51,107
"JP-BG","2001-05",1,439
"JP-BG","2006-10",3,403
"JP-BR","1991-95",3,189
"JP-BR","1996-00",6,212
"JP-BR","2001-05",8,207
"JP-BR","2006-10",14,183
"JP-BR","2011-15",6,357
"JP-BS","2006-10",1,543
"JP-CA","1986-90",35,33
"JP-CA","1991-95",51,35
"JP-CA","1996-00",52,55
"JP-CA","2001-05",55,68
"JP-CA","2006-10",85,66
"JP-CA","2011-15",113,69
"JP-CH","1986-90",6,88
"JP-CH","1991-95",26,51
"JP-CH","1996-00",16,109
"JP-CH","2001-05",35,92
"JP-CH","2006-10",21,150
"JP-CH","2011-15",31,135
"JP-CL","2001-05",1,471
"JP-CL","2006-10",2,481
"JP-CN","1986-90",1,234
"JP-CN","1991-95",8,118
"JP-CN","1996-00",43,59
"JP-CN","2001-05",160,38
"JP-CN","2006-10",592,19
"JP-CN","2011-15",840,19
"JP-DE","1986-90",76,15
"JP-DE","1991-95",126,17
"JP-DE","1996-00",129,30
"JP-DE","2001-05",198,29
"JP-DE","2006-10",235,34
"JP-DE","2011-15",218,46
"JP-DK","1991-95",2,238
"JP-DK","1996-00",1,491
"JP-DK","2001-05",5,265
"JP-DK","2006-10",3,383
"JP-DK","2011-15",7,323
"JP-ES","1986-90",3,149
"JP-ES","1991-95",2,218
"JP-ES","1996-00",10,152
"JP-ES","2001-05",9,196
"JP-ES","2006-10",13,188
"JP-ES","2011-15",7,320
"JP-FI","1986-90",2,165
"JP-FI","1991-95",1,325
"JP-FI","1996-00",13,131
"JP-FI","2001-05",18,130
"JP-FI","2006-10",9,232
"JP-FI","2011-15",10,270
"JP-FR","1986-90",28,36
"JP-FR","1991-95",23,58
"JP-FR","1996-00",74,43
"JP-FR","2001-05",85,52
"JP-FR","2006-10",108,55
"JP-FR","2011-15",74,89
"JP-GB","1986-90",46,24
"JP-GB","1991-95",78,25
"JP-GB","1996-00",124,33
"JP-GB","2001-05",175,34
"JP-GB","2006-10",225,37
"JP-GB","2011-15",174,53
"JP-HK","1991-95",8,112
"JP-HK","1996-00",19,100
"JP-HK","2001-05",32,95
"JP-HK","2006-10",20,155
"JP-HK","2011-15",15,221
"JP-HU","1996-00",1,527
"JP-HU","2006-10",1,634
"JP-ID","1986-90",1,278
"JP-ID","1991-95",1,275
"JP-ID","1996-00",2,301
"JP-ID","2001-05",3,318
"JP-ID","2006-10",1,686
"JP-ID","2011-15",3,446
"JP-IE","1986-90",4,114
"JP-IE","1991-95",12,84
"JP-IE","1996-00",2,328
"JP-IE","2001-05",4,286
"JP-IE","2006-10",3,360
"JP-IE","2011-15",9,282
"JP-IL","1986-90",2,171
"JP-IL","1991-95",1,369
"JP-IL","2001-05",1,474
"JP-IL","2006-10",2,446
"JP-IL","2011-15",3,430
"JP-IN","1986-90",4,119
"JP-IN","1991-95",6,130
"JP-IN","1996-00",16,108
"JP-IN","2001-05",12,164
"JP-IN","2006-10",38,108
"JP-IN","2011-15",30,141
"JP-IT","1986-90",3,142
"JP-IT","1991-95",4,156
"JP-IT","1996-00",6,202
"JP-IT","2001-05",15,146
"JP-IT","2006-10",8,240
"JP-IT","2011-15",23,163
"JP-JO","1996-00",1,416
"JP-JO","2006-10",1,546
"JP-JP","1986-90",0,345
"JP-JP","1991-95",0,406
"JP-JP","1996-00",0,557
"JP-JP","2001-05",0,657
"JP-JP","2006-10",0,804
"JP-JP","2011-15",0,845
"KE-CA","2011-15",2,555
"KE-CZ","2001-05",1,453
"KE-DE","1996-00",1,367
"KE-IN","2011-15",1,680
"KE-JP","1991-95",1,354
"KE-KE","2001-05",0,609
"KE-KE","2006-10",0,786
"KE-KE","2011-15",0,901
"KI-AU","2011-15",1,622
"KI-TW","2001-05",1,494
"KI-US","1986-90",1,237
"KI-US","1991-95",2,231
"KN-US","1986-90",4,123
"KN-US","1991-95",1,383
"KN-US","2006-10",1,681
"KN-US","2011-15",1,808
"KP-JP","2006-10",1,697
"KP-KR","1991-95",2,230
"KP-KR","1996-00",2,316
"KP-KR","2001-05",2,421
"KP-KR","2006-10",2,452
"KP-KR","2011-15",1,606
"KR-AE","2011-15",2,540
"KR-AT","2001-05",5,255
"KR-AT","2011-15",22,164
"KR-AU","1991-95",1,342
"KR-AU","1996-00",1,365
"KR-AU","2001-05",3,320
"KR-AU","2006-10",9,229
"KR-AU","2011-15",7,307
"KR-BE","2001-05",4,287
"KR-BE","2006-10",8,238
"KR-BE","2011-15",24,158
"KR-BR","2001-05",1,465
"KR-BR","2011-15",2,578
"KR-CA","1991-95",2,252
"KR-CA","1996-00",23,88
"KR-CA","2001-05",41,84
"KR-CA","2006-10",98,61
