,patent_id,inventor_id,GMI1yr_prevexpabroad,inventor_iso2,cpc_id,pri_time
814838,4316245,4024508-2,0,US,G06F,1973/11/30
652207,4084224,4024508-2,0,US,G06F,1973/11/30
652211,4084228,4024508-2,0,US,G06F,1973/11/30
800508,4297743,4024508-2,0,US,G06F,1973/11/30
714244,4177510,4024508-2,0,US,G06F,1973/11/30
876068,4394725,4024508-2,0,US,G06F,1973/11/30
906122,4432051,4024508-2,0,US,G06F,1973/11/30
587989,3979727,3979727-1,0,US,G06F,1973/4/24
587990,3979727,3979727-2,0,US,G06F,1973/4/24
587991,3979727,3979727-3,0,US,G06F,1973/4/24
587992,3979727,3979727-4,0,US,G06F,1973/4/24
582652,3971013,3971013-2,0,US,G06F,1974/10/1
919095,4447874,4024508-2,0,US,G06F,1974/4/25
682850,4130882,4130882-1,0,US,G06F,1975/7/29
682849,4130882,4087852-1,0,US,G06F,1975/7/29
718808,4184202,4184202-1,0,US,G06F,1977/5/21
927453,4458307,4355376-1,0,US,G06F,1977/9/22
761896,4245308,4245308-1,0,US,G06F,1978/10/2
794589,4290115,3996560-3,0,US,G06F,1978/5/31
794591,4290115,4290115-3,0,US,G06F,1978/5/31
794590,4290115,4068298-3,0,US,G06F,1978/5/31
799441,4296463,4159518-1,0,US,G06F,1978/6/7
1000905,4546450,4388537-1,0,US,G06F,1980/2/26
913777,4441158,4388537-1,0,US,G06F,1980/7/31
991215,4535403,4535403-1,0,US,G06F,1981/2/2
1119939,4679241,4493104-1,0,US,G06F,1981/3/17
1095207,4653100,4653100-1,0,US,G06F,1982/1/29
1246766,4811306,4691277-3,0,US,G06F,1982/11/9
1127799,4688181,4688181-1,0,US,G06F,1982/12/22
1042102,4593352,4159518-1,0,US,G06F,1982/3/24
1135105,4695968,4695968-1,0,US,G06F,1983/11/3
1135104,4695968,4628471-2,0,US,G06F,1983/11/3
1163629,4725971,4695968-1,0,US,G06F,1983/11/3
1163628,4725971,4628471-2,0,US,G06F,1983/11/3
1135106,4695968,4695968-3,0,US,G06F,1983/11/3
1158666,4720781,4720781-4,0,US,G06F,1983/11/30
1174207,4736288,4541047-2,1,US,G06F,1983/12/19
1119852,4679140,4541047-2,1,US,G06F,1983/12/23
1188140,4750106,4393463-1,0,US,G06F,1983/3/11
1048585,4601012,4393463-1,0,US,G06F,1983/3/11
1065772,4620295,4393463-1,0,US,G06F,1983/3/7
1090578,4648069,4648069-1,0,US,G06F,1983/3/7
1214504,4777594,4561051-3,0,US,G06F,1983/7/11
1188143,4750112,4561051-2,0,US,G06F,1983/7/11
1188144,4750112,4750112-1,0,US,G06F,1983/7/11
1188145,4750112,4750112-2,0,US,G06F,1983/7/11
1197835,4760519,4561051-2,0,US,G06F,1983/7/11
1197836,4760519,4561051-3,0,US,G06F,1983/7/11
1214505,4777594,4750112-1,0,US,G06F,1983/7/11
1214506,4777594,4750112-2,0,US,G06F,1983/7/11
1232026,4796225,4796225-2,0,US,G06F,1984/5/21
1146279,4707573,4707573-3,0,US,G06F,1985/10/23
1354109,4920482,4920482-2,0,US,G06F,1985/11/19
1284472,4849920,4752893-2,0,US,G06F,1985/3/18
1158698,4720811,4646271-1,1,US,G06F,1985/4/26
1178789,4740887,4740887-1,0,US,G06F,1985/4/30
1122862,4682328,4239941-3,0,US,G06F,1985/8/15
1288189,4853845,4361868-1,0,US,G06F,1985/9/12
1316700,4882690,4882690-7,0,US,G06F,1985/9/26
1286426,4851989,4851989-3,0,US,G06F,1985/9/6
1435916,5001629,4604692-1,1,US,G06F,1986/1/27
1435917,5001629,5001629-3,0,US,G06F,1986/1/27
1435918,5001629,5001629-4,0,US,G06F,1986/1/27
1435915,5001629,3960393-3,1,US,G06F,1986/1/27
1290272,4856000,4856000-5,0,US,G06F,1986/12/30
1458408,5025395,5025395-3,0,US,G06F,1986/2/21
1407609,4974157,4974157-2,0,US,G06F,1986/2/6
1276313,4841472,4841472-2,0,US,G06F,1986/4/22
1276314,4841472,4841472-3,0,US,G06F,1986/4/22
1676447,5247521,4615005-4,1,US,G06F,1986/4/23
1423906,4989208,4615005-4,1,US,G06F,1986/4/23
1244567,4809155,4809155-3,0,US,G06F,1986/4/30
1365294,4931931,4931931-3,0,US,G06F,1986/7/8
1399259,4965771,4461564-1,1,US,G06F,1986/8/18
1409186,4975834,4975834-2,0,US,G06F,1986/9/27
1453265,5019962,5019962-3,0,US,G06F,1987/1/16
1651276,5222227,5019962-3,0,US,G06F,1987/1/16
2564156,6182062,4126761-2,0,US,G06F,1987/11/27
1365346,4931979,4751732-1,0,US,G06F,1987/12/25
1374517,4941127,3954732-3,1,US,G06F,1987/2/20
1507308,5075881,5075881-1,0,US,G06F,1987/5/20
1451524,5018082,5018082-2,0,US,G06F,1987/5/25
1548497,5117395,3954732-3,1,US,G06F,1987/9/18
1489421,5057950,5029022-4,0,US,G06F,1988/1/8
1455206,5021922,D246670-2,0,US,G06F,1988/11/30
1455207,5021922,D248024-2,0,US,G06F,1988/11/30
1455204,5021922,5021922-4,0,US,G06F,1988/11/30
1455203,5021922,4360839-2,0,US,G06F,1988/11/30
2045798,5631858,5214786-3,1,US,G06F,1988/11/4
1721532,5293558,5214786-3,1,US,G06F,1988/11/4
2350206,5956263,5214786-3,1,US,G06F,1988/11/4
1469146,5036516,4923108-1,0,US,G06F,1988/2/20
1640275,5210874,4787031-1,0,US,G06F,1988/3/22
1835370,5412775,5377095-1,0,US,G06F,1988/4/13
1835368,5412775,4616227-3,1,US,G06F,1988/4/13
1647789,5218703,4674089-1,0,US,G06F,1988/7/7
1435921,5001633,4774666-6,1,US,G06F,1988/9/2
1435920,5001633,4031867-3,1,US,G06F,1988/9/2
1435922,5001633,4814988-2,1,US,G06F,1988/9/2
1676584,5247665,5247665-3,0,US,G06F,1988/9/30
1676583,5247665,5247665-2,0,US,G06F,1988/9/30
1821411,5398313,4644471-1,1,US,G06F,1989/1/9
1615470,5185719,4532698-3,0,US,G06F,1989/10/14
1615471,5185719,4816706-1,0,US,G06F,1989/10/14
1944300,5526509,4975839-1,1,US,G06F,1989/10/30
1686378,5257361,4975839-1,1,US,G06F,1989/10/30
1816027,5392416,4975839-1,1,US,G06F,1989/10/30
2036010,5621641,3973255-1,0,US,G06F,1989/12/21
1707348,5278946,5278946-4,0,US,G06F,1989/12/4
1708983,5280616,4910687-3,0,US,G06F,1989/2/27
1530666,5099233,4866434-1,0,US,G06F,1989/4/19
1656783,5227981,4299559-1,0,US,G06F,1989/4/20
1656784,5227981,4698744-6,0,US,G06F,1989/4/20
1656785,5227981,4939909-2,0,US,G06F,1989/4/20
1572928,5142536,4615005-4,1,US,G06F,1989/4/23
2001516,5586263,4590584-1,1,US,G06F,1989/5/13
1737278,5309172,5309172-1,0,US,G06F,1989/6/14
1833541,5410688,4953080-5,1,US,G06F,1989/7/21
1833539,5410688,4862390-1,0,US,G06F,1989/7/21
1833542,5410688,5410688-2,0,US,G06F,1989/7/21
2034085,5619638,5428785-1,0,US,G06F,1989/7/31
1670641,5241679,4745581-6,1,US,G06F,1989/7/5
1670640,5241679,4323912-8,1,US,G06F,1989/7/5
2713339,6334211,4644471-1,1,US,G06F,1989/9/29
1559302,5128552,5024225-1,0,US,G06F,1989/9/29
1982028,5566294,4644471-1,1,US,G06F,1989/9/29
2397060,6005576,4644471-1,1,US,G06F,1989/9/29
2983441,6606741,4644471-1,1,US,G06F,1989/9/29
1731667,5303364,4807266-1,0,US,G06F,1989/9/29
1559303,5128552,5128552-2,0,US,G06F,1989/9/29
1731665,5303364,4218752-2,0,US,G06F,1989/9/29
1731666,5303364,4594501-1,0,US,G06F,1989/9/29
2183347,5774122,4644471-1,1,US,G06F,1989/9/29
1721428,5293470,5293470-5,0,US,G06F,1990/1/29
1874838,5454090,4674089-1,0,US,G06F,1990/10/12
1874841,5454090,4942559-4,0,US,G06F,1990/10/12
1707244,5278843,4902947-1,0,US,G06F,1990/11/28
1643735,5214598,4796199-1,0,US,G06F,1990/11/9
1715483,5287510,4104721-1,0,US,G06F,1990/2/14
4256317,7861034,3975446-2,1,US,G06F,1990/2/26
3631237,7254674,3975446-2,1,US,G06F,1990/2/26
3104252,6728832,3975446-2,1,US,G06F,1990/2/26
2161916,5752016,5265014-3,0,US,G06F,1990/2/8
1850052,5428785,5428785-1,0,US,G06F,1990/4/30
2029752,5615336,5428785-1,0,US,G06F,1990/4/30
1760214,5333289,4733344-1,1,US,G06F,1990/5/25
1670632,5241673,5241673-1,0,US,G06F,1990/6/5
1708890,5280515,5280515-1,0,US,G06F,1990/7/10
1767522,5341507,4775950-1,1,US,G06F,1990/7/17
1767521,5341507,4355329-1,1,US,G06F,1990/7/17
1767525,5341507,4785204-4,1,US,G06F,1990/7/17
1767528,5341507,5301313-4,0,US,G06F,1990/7/17
1767527,5341507,5301313-10,0,US,G06F,1990/7/17
1767526,5341507,4953083-4,1,US,G06F,1990/7/17
1767520,5341507,4015084-2,1,US,G06F,1990/7/17
1767524,5341507,4775950-4,1,US,G06F,1990/7/17
1767523,5341507,4775950-3,1,US,G06F,1990/7/17
1767529,5341507,5301313-6,1,US,G06F,1990/7/17
2190363,5781746,4734852-2,0,US,G06F,1990/7/20
1626587,5196930,5117381-2,1,US,G06F,1990/7/20
1626586,5196930,4691329-1,1,US,G06F,1990/7/20
2336122,5940582,5940582-3,0,US,G06F,1990/7/25
1999183,5584035,5428785-1,0,US,G06F,1990/7/31
2152363,5742284,5428785-1,0,US,G06F,1990/7/31
1957324,5539898,5539898-2,0,US,G06F,1990/8/3
1833523,5410656,5363492-1,0,US,G06F,1990/8/31
1861899,5440754,5363492-1,0,US,G06F,1990/8/31
2054304,5640536,5363492-1,0,US,G06F,1990/8/31
1788665,5363492,5363492-1,0,US,G06F,1990/8/31
2110251,5699529,5699529-1,0,US,G06F,1990/8/31
1850030,5428751,5363492-1,0,US,G06F,1990/8/31
2110249,5699529,5363492-1,0,US,G06F,1990/8/31
1803043,5378934,3930964-1,0,US,G06F,1990/9/12
1792427,5367623,5367623-2,0,US,G06F,1990/9/25
1666431,5237502,5237502-1,0,US,G06F,1990/9/4
1674495,5245550,4811213-1,1,US,G06F,1991/1/25
1891363,5471580,4532589-1,1,US,G06F,1991/10/1
1767503,5341475,4507777-2,0,US,G06F,1991/10/16
1987635,5572422,5572422-1,0,US,G06F,1991/10/16
2190472,5781890,5572422-1,0,US,G06F,1991/10/16
1727497,5299089,5096428-1,0,US,G06F,1991/10/28
1858471,5437043,4918686-4,1,US,G06F,1991/11/20
1914451,5495586,4622604-2,0,US,G06F,1991/12/26
1952726,5535132,5461574-1,1,US,G06F,1991/2/20
2258906,5857110,5109499-3,1,US,G06F,1991/3/19
2032029,5617575,5109499-3,1,US,G06F,1991/3/19
2125649,5715426,5136545-1,0,US,G06F,1991/4/30
2208523,5802566,5710907-1,0,US,G06F,1991/5/2
1944290,5526499,4642764-2,0,US,G06F,1991/5/23
2072248,5659797,5524195-4,0,US,G06F,1991/6/24
1996769,5581682,4651278-2,0,US,G06F,1991/6/28
1996772,5581682,5581682-4,0,US,G06F,1991/6/28
1871778,5450572,5450572-1,0,US,G06F,1991/7/20
2123313,5712968,4736201-1,0,US,G06F,1991/7/8
2229549,5826002,4932014-1,0,US,G06F,1991/8/20
2590257,6209107,4932014-1,0,US,G06F,1991/8/20
2851275,6473867,4932014-1,0,US,G06F,1991/8/20
2421491,6032263,4932014-1,0,US,G06F,1991/8/20
1954951,5537548,4679190-3,0,US,G06F,1991/8/8
1854265,5432910,5432910-7,0,US,G06F,1991/9/30
1854263,5432910,5432910-2,0,US,G06F,1991/9/30
1854261,5432910,4809155-3,0,US,G06F,1991/9/30
1810443,5386567,4679190-3,0,US,G06F,1992/1/20
1909823,5490095,5461579-2,0,US,G06F,1992/1/22
1909824,5490095,5490095-2,0,US,G06F,1992/1/22
2435388,6046992,5295154-1,0,US,G06F,1992/10/1
2435389,6046992,5295154-3,0,US,G06F,1992/10/1
2045480,5631592,4287563-1,0,US,G06F,1992/10/3
2150658,5740459,5398299-2,0,US,G06F,1992/10/7
2105055,5694400,5448725-1,0,US,G06F,1992/12/28
1879487,5459312,5045687-1,0,US,G06F,1992/2/19
1879488,5459312,5369270-2,0,US,G06F,1992/2/19
1854279,5432916,5432916-3,0,US,G06F,1992/2/29
1854276,5432916,5003465-3,0,US,G06F,1992/2/29
1854277,5432916,5220211-3,0,US,G06F,1992/2/29
1854273,5432916,3943494-2,0,US,G06F,1992/2/29
1893372,5473705,5473705-4,0,US,G06F,1992/3/10
1859490,5438168,5041701-2,0,US,G06F,1992/3/18
1859489,5438168,5041701-1,0,US,G06F,1992/3/18
1794190,5369708,4670521-2,1,US,G06F,1992/3/31
2100146,5689253,4868130-1,0,US,G06F,1992/4/10
2397012,6005496,4868130-1,0,US,G06F,1992/4/10
2397013,6005496,5673040-2,0,US,G06F,1992/4/10
2100147,5689253,5673040-2,0,US,G06F,1992/4/10
3270333,6892296,5668831-4,0,US,G06F,1992/6/30
3288293,6910125,5455522-1,1,US,G06F,1992/6/30
1854072,5432728,5432728-1,0,US,G06F,1992/7/3
1846572,5424972,4891792-3,0,US,G06F,1992/9/4
1996828,5581775,5581775-2,0,US,G06F,1993/10/2
2731479,6349298,5819270-5,0,US,G06F,1993/2/25
2731478,6349298,5819270-4,0,US,G06F,1993/2/25
2457000,6070163,5819270-5,0,US,G06F,1993/2/25
2456997,6070163,5819270-2,0,US,G06F,1993/2/25
2456999,6070163,5819270-4,0,US,G06F,1993/2/25
2456998,6070163,5819270-3,0,US,G06F,1993/2/25
2731477,6349298,5819270-3,0,US,G06F,1993/2/25
2456996,6070163,5727175-1,0,US,G06F,1993/2/25
2731475,6349298,5727175-1,0,US,G06F,1993/2/25
2731476,6349298,5819270-2,0,US,G06F,1993/2/25
2477709,6092097,4982340-4,1,US,G06F,1993/3/12
1933951,5515388,5126842-2,1,US,G06F,1993/3/19
1934068,5515519,5220670-1,1,US,G06F,1993/3/19
1873355,5452430,4914569-2,0,US,G06F,1993/3/30
1873356,5452430,5452430-1,0,US,G06F,1993/3/30
1885421,5465328,4914569-2,0,US,G06F,1993/3/30
1885422,5465328,5452430-1,0,US,G06F,1993/3/30
2100530,5689661,5689661-2,0,US,G06F,1993/3/31
2699020,6320602,6320602-2,0,US,G06F,1993/4/30
1930065,5511148,5511148-1,0,US,G06F,1993/4/30
1976069,5559945,5559945-2,0,US,G06F,1993/5/4
2100536,5689668,5559945-2,0,US,G06F,1993/5/4
1976065,5559945,4680698-1,1,US,G06F,1993/5/4
2100533,5689668,4680698-1,1,US,G06F,1993/5/4
2057754,5644518,4780906-2,0,US,G06F,1993/6/10
2359929,5966407,4945506-2,1,US,G06F,1993/6/25
2052374,5638490,4243945-1,0,US,G06F,1993/6/7
2052376,5638490,5398299-2,0,US,G06F,1993/6/7
2005669,5590353,5109499-3,1,US,G06F,1993/7/15
2059909,5646873,4740718-1,1,US,G06F,1993/9/30
2002809,5587559,4539560-1,0,US,G06F,1994/11/18
2192724,5784595,5768631-4,0,US,G06F,1994/11/9
2192722,5784595,5668957-2,0,US,G06F,1994/11/9
2208323,5802345,5802345-2,0,US,G06F,1994/3/28
2123319,5712974,3931047-1,0,US,G06F,1994/3/30
2123320,5712974,5257379-3,0,US,G06F,1994/3/30
2123321,5712974,5349675-2,0,US,G06F,1994/3/30
2123323,5712974,5712974-3,0,US,G06F,1994/3/30
2102919,5692190,4928237-8,0,US,G06F,1994/3/31
2326978,5930833,5041969-1,1,US,G06F,1994/4/19
2521494,6138226,5041969-1,1,US,G06F,1994/4/19
2702886,6324634,5041969-1,1,US,G06F,1994/4/19
2171176,5761076,5245550-1,1,US,G06F,1994/4/19
2168182,5758146,5345585-2,0,US,G06F,1994/5/20
2187256,5778353,5345585-2,0,US,G06F,1994/5/20
2345646,5951634,5951634-4,0,US,G06F,1994/7/13
2254165,5852406,5528749-2,0,US,G06F,1994/7/15
2254164,5852406,5327176-3,0,US,G06F,1994/7/15
2308892,5911143,5278901-2,0,US,G06F,1994/8/15
2140052,5729732,5729732-2,0,US,G06F,1994/9/3
2305745,5907867,5389409-4,1,US,G06F,1994/9/9
2132063,5721865,5710912-2,0,US,G06F,1995/1/20
2132061,5721865,5475823-1,0,US,G06F,1995/1/20
2132060,5721865,4583013-1,0,US,G06F,1995/1/20
2132058,5721865,4366537-2,0,US,G06F,1995/1/20
2200854,5793993,5787298-2,0,US,G06F,1995/1/26
2200851,5793993,3950654-1,0,US,G06F,1995/1/26
2200853,5793993,5119290-2,0,US,G06F,1995/1/26
2200852,5793993,4868557-1,0,US,G06F,1995/1/26
2243813,5841673,5448497-3,0,US,G06F,1995/1/30
3020477,6643713,4555643-2,1,US,G06F,1995/10/9
3367949,6993597,4555643-2,1,US,G06F,1995/10/9
4499716,8090398,4555643-2,1,US,G06F,1995/10/9
2735639,6353863,4555643-2,1,US,G06F,1995/10/9
2813906,6436036,6040531-1,0,US,G06F,1995/11/1
2429280,6040531,6040531-5,0,US,G06F,1995/11/1
2813909,6436036,6040531-4,0,US,G06F,1995/11/1
2813910,6436036,6040531-5,0,US,G06F,1995/11/1
3039909,6663564,6040531-6,0,US,G06F,1995/11/1
2813912,6436036,6436036-7,0,US,G06F,1995/11/1
3039908,6663564,6040531-5,0,US,G06F,1995/11/1
3039907,6663564,6040531-4,0,US,G06F,1995/11/1
3039904,6663564,6040531-1,0,US,G06F,1995/11/1
2429281,6040531,6040531-6,0,US,G06F,1995/11/1
2813911,6436036,6040531-6,0,US,G06F,1995/11/1
3039910,6663564,6436036-7,0,US,G06F,1995/11/1
2429279,6040531,6040531-4,0,US,G06F,1995/11/1
2429276,6040531,6040531-1,0,US,G06F,1995/11/1
2677145,6298480,6298480-2,0,US,G06F,1995/11/20
2314775,5917495,3970991-3,1,US,G06F,1995/11/30
2394883,6003076,6003076-3,0,US,G06F,1995/11/30
2201057,5794231,5794231-1,1,US,G06F,1995/12/28
2489924,6105059,5862251-2,0,US,G06F,1995/12/29
2308834,5911074,4749989-1,0,US,G06F,1995/12/8
2308836,5911074,5911074-3,0,US,G06F,1995/12/8
2308837,5911074,5911074-4,0,US,G06F,1995/12/8
